stack,concurrency,ttft_median_ms,ttft_p95_ms,total_median_ms,total_p95_ms,requests_per_s,trial_count,ttft_p95_across_trials,total_p95_across_trials,tokens_per_s_est
naive_hf,1,170.0,250.0,1600.0,5600.0,0.459,3,170.0,1690.0,61.327
naive_hf,5,280.0,410.0,8800.0,27000.0,0.341,3,280.0,9070.0,45.606
naive_hf,10,410.0,1100.0,15000.0,46000.0,0.358,3,482.0,15900.0,47.871
naive_hf,20,1200.0,1500.0,31000.0,56000.0,0.367,3,1548.255,35500.0,49.056
naive_hf,30,1600.0,1600.0,38000.0,49000.0,0.223,3,1870.0,47000.0,29.814
tgi,1,320.0,740.0,2000.0,5300.0,0.363,3,329.0,3350.0,48.59
tgi,5,320.0,1100.0,1900.0,5500.0,1.902,3,365.0,2710.0,254.414
tgi,10,320.0,610.0,2000.0,5600.0,3.643,3,329.0,2000.0,487.202
tgi,20,330.0,1000.0,2200.0,6200.0,6.857,3,348.0,2200.0,917.167
tgi,30,340.0,1000.0,2200.0,6400.0,9.712,3,340.0,2290.0,1299.018
vllm,1,210.0,590.0,1800.0,5200.0,0.38,3,228.0,3150.0,50.762
vllm,5,220.0,550.0,1600.0,5100.0,2.088,3,247.0,1600.0,279.29
vllm,10,230.0,540.0,1700.0,5200.0,4.14,3,239.0,1790.0,553.693
vllm,20,220.0,580.0,1900.0,5500.0,7.671,3,229.0,1900.0,1026.038
vllm,30,240.0,590.0,2000.0,5600.0,11.253,3,240.0,2000.0,1505.05
