context_length,concurrency,mem_before_mb,mem_after_mb,kv_cache_estimate_mb,peak_mem_mb,oom
512,1,14526.6,14711.3,184.6,14714.8,False
512,5,14534.8,15421.7,886.9,15439.2,False
512,10,14534.8,16303.8,1769.0,16338.8,False
512,20,14534.8,18064.8,3530.1,18134.8,False
1024,1,14534.8,14888.8,354.0,14895.8,False
1024,5,14534.8,16303.8,1769.0,16338.8,False
1024,10,14534.8,18064.8,3530.1,18134.8,False
1024,20,14534.8,21594.9,7060.2,21734.9,False
2048,1,14534.8,15241.2,706.4,15255.2,False
2048,5,14534.8,18064.8,3530.1,18134.8,False
2048,10,14534.8,21594.9,7060.2,21734.9,False
2048,20,14534.8,,,,True
4096,1,14534.8,15947.2,1412.4,15975.2,False
4096,5,14534.8,21594.9,7060.2,21734.9,False
4096,10,14534.8,,,,True
4096,20,14534.8,,,,True
